depth,management_label,scen_label,mean_delta_soc_pct,sd_delta_soc_pct,mean_absolute_change_tC_ha,driver
60+ cm,Biogas digestate | Residue Retained,Tmp +2degC,0.4734796944929115,0.13767415135369684,0.19621299999999975,Temperature
60+ cm,Biogas digestate | Residue Retained,Tmp +3degC,0.5729308395217382,0.16088591281961534,0.23742050000000017,Temperature
60+ cm,Biogas digestate | Residue Retained,Tmp -2degC,-0.3815243365382309,0.14929607836405925,-0.15823049999999786,Temperature
60+ cm,Biogas digestate | Residue Retained,Tmp -3degC,-0.5689781310757538,0.17387730846515856,-0.23591749999999775,Temperature
60+ cm,Biogas digestate | Residue Retained,Tmp 0degC,-0.08391932662734809,0.12846340433578018,-0.03485224999999809,Temperature
60+ cm,Mineral fertiliser | Residue Removed,Rad -10%,-0.5467169392290065,0.09649959525940852,-0.22532550000000082,Radiation
60+ cm,Mineral fertiliser | Residue Removed,Rad -20%,-0.6248559205216399,0.0555906689284385,-0.2575205000000024,Radiation
60+ cm,Mineral fertiliser | Residue Removed,Rad -30%,-0.71442387377583,0.0783745858222703,-0.29445024999999986,Radiation
60+ cm,Mineral fertiliser | Residue Removed,Rad -5%,-0.5387323225140987,0.08575424607207052,-0.22200850000000355,Radiation
60+ cm,Mineral fertiliser | Residue Removed,Rad 0%,-0.4464371115040656,0.06453756161798282,-0.1839697500000002,Radiation
60+ cm,Mineral fertiliser | Residue Removed,Tmp +0.5degC,0.15177953360287594,0.0992162370816427,0.0625532499999972,Temperature
60+ cm,Mineral fertiliser | Residue Removed,Tmp +1degC,0.30335823077446294,0.0588022346081069,0.12501349999999728,Temperature
60+ cm,Mineral fertiliser | Residue Removed,Tmp +2degC,0.4597246476669379,0.07743379734489347,0.18944100000000072,Temperature
60+ cm,Mineral fertiliser | Residue Removed,Tmp +3degC,0.5021827704889826,0.1293942761054874,0.20692249999999696,Temperature
60+ cm,Mineral fertiliser | Residue Removed,Tmp -2degC,-0.321142749923868,0.07765822754631072,-0.13236375000000045,Temperature
60+ cm,Mineral fertiliser | Residue Removed,Tmp -3degC,-0.5320592829047025,0.13432602234318156,-0.21930350000000362,Temperature
60+ cm,Mineral fertiliser | Residue Removed,Tmp 0degC,0.05713483786508765,0.049430640219139656,0.023545749999997496,Temperature
60+ cm,Mineral fertiliser | Residue Retained,Rad -10%,-0.6115715186998247,0.0661744230007434,-0.25237375000000245,Radiation
60+ cm,Mineral fertiliser | Residue Retained,Rad -20%,-0.7001524620366532,0.0937024665405101,-0.28892525000000385,Radiation
60+ cm,Mineral fertiliser | Residue Retained,Rad -30%,-0.8447736682109033,0.06250318024930766,-0.3485955000000031,Radiation
60+ cm,Mineral fertiliser | Residue Retained,Rad -5%,-0.6133379319428001,0.07333784841396121,-0.2530782500000023,Radiation
60+ cm,Mineral fertiliser | Residue Retained,Rad 0%,-0.5369497572139513,0.13511392837606914,-0.22156875000000217,Radiation
60+ cm,Mineral fertiliser | Residue Retained,Tmp +0.5degC,0.09648209791815708,0.11070902195445574,0.039795249999997395,Temperature
60+ cm,Mineral fertiliser | Residue Retained,Tmp +1degC,0.17579431665019699,0.17375504194454083,0.07248749999999927,Temperature
60+ cm,Mineral fertiliser | Residue Retained,Tmp +2degC,0.413006507658917,0.07642548567577309,0.17038524999999755,Temperature
60+ cm,Mineral fertiliser | Residue Retained,Tmp +3degC,0.4766417447666781,0.07489194925083584,0.1966409999999978,Temperature
60+ cm,Mineral fertiliser | Residue Retained,Tmp -2degC,-0.3906820315534063,0.1014269850288917,-0.1612390000000032,Temperature
60+ cm,Mineral fertiliser | Residue Retained,Tmp -3degC,-0.6766171817220973,0.09950424914484368,-0.279223750000001,Temperature
60+ cm,Mineral fertiliser | Residue Retained,Tmp 0degC,-0.03345207590988262,0.1361450471621679,-0.013826250000001893,Temperature
