management_label,scen_label,value,outcome,driver,relative_yield_pct
Biogas digestate | Residue Retained,Wind -50%,-0.10385610798366716,"Δ Total SOC, 0–30 cm",Wind,98.77189851287766
Biogas digestate | Residue Retained,Wind -60%,-0.3853245291183742,"Δ Total SOC, 0–30 cm",Wind,98.26885240743857
Biogas digestate | Residue Retained,Wind -70%,-0.42115001527611795,"Δ Total SOC, 0–30 cm",Wind,98.07639830330463
Biogas digestate | Residue Retained,Wind 0%,-0.039949667434079995,"Δ Total SOC, 0–30 cm",Wind,99.70401861076064
Mineral fertiliser | Residue Removed,Rad -10%,-3.2673458175413277,"Δ Total SOC, 0–30 cm",Radiation,73.35764013424827
Mineral fertiliser | Residue Removed,Rad -20%,-3.4090428489626845,"Δ Total SOC, 0–30 cm",Radiation,68.2519762339746
Mineral fertiliser | Residue Removed,Rad -30%,-3.3163723794780644,"Δ Total SOC, 0–30 cm",Radiation,59.502899581350704
Mineral fertiliser | Residue Removed,Rad -5%,-3.1618424136425136,"Δ Total SOC, 0–30 cm",Radiation,73.22011701774812
Mineral fertiliser | Residue Removed,Rad 0%,-2.3104206148804893,"Δ Total SOC, 0–30 cm",Radiation,79.10934831932413
Mineral fertiliser | Residue Removed,Tmp +0.5degC,0.367650444820175,"Δ Total SOC, 0–30 cm",Temperature,108.27590158236718
Mineral fertiliser | Residue Removed,Tmp +1degC,0.29611537202647303,"Δ Total SOC, 0–30 cm",Temperature,117.57031453065088
Mineral fertiliser | Residue Removed,Tmp +2degC,-0.8981755911985595,"Δ Total SOC, 0–30 cm",Temperature,127.20944216509733
Mineral fertiliser | Residue Removed,Tmp +3degC,-3.0468819801910776,"Δ Total SOC, 0–30 cm",Temperature,128.46458151424244
Mineral fertiliser | Residue Removed,Tmp -2degC,8.97223995399367,"Δ Total SOC, 0–30 cm",Temperature,71.24786173052102
Mineral fertiliser | Residue Removed,Tmp -3degC,10.658140150491862,"Δ Total SOC, 0–30 cm",Temperature,52.40980094546659
Mineral fertiliser | Residue Removed,Tmp 0degC,1.7536432494266962,"Δ Total SOC, 0–30 cm",Temperature,101.48976332465726
Mineral fertiliser | Residue Removed,Wind -20%,0.1292576585102729,"Δ Total SOC, 0–30 cm",Wind,101.90215800144868
Mineral fertiliser | Residue Removed,Wind -30%,0.11666348260016597,"Δ Total SOC, 0–30 cm",Wind,102.06802670193524
Mineral fertiliser | Residue Removed,Wind -40%,0.09140204994466697,"Δ Total SOC, 0–30 cm",Wind,102.00136291163177
Mineral fertiliser | Residue Removed,Wind -50%,0.06982697751996961,"Δ Total SOC, 0–30 cm",Wind,101.99905227227954
Mineral fertiliser | Residue Removed,Wind -60%,0.05793098501119804,"Δ Total SOC, 0–30 cm",Wind,102.10488545817613
Mineral fertiliser | Residue Removed,Wind -70%,0.03938572297979065,"Δ Total SOC, 0–30 cm",Wind,102.15760674439656
Mineral fertiliser | Residue Removed,Wind 0%,-0.007418259449184764,"Δ Total SOC, 0–30 cm",Wind,100.47894764479356
Mineral fertiliser | Residue Retained,Rad -10%,-4.252356736984225,"Δ Total SOC, 0–30 cm",Radiation,65.19766664994854
Mineral fertiliser | Residue Retained,Rad -20%,-4.734243307145134,"Δ Total SOC, 0–30 cm",Radiation,52.548244410516
Mineral fertiliser | Residue Retained,Rad -30%,-5.357338751444158,"Δ Total SOC, 0–30 cm",Radiation,39.2689418583933
Mineral fertiliser | Residue Retained,Rad -5%,-4.174572889094297,"Δ Total SOC, 0–30 cm",Radiation,70.62900761951188
Mineral fertiliser | Residue Retained,Rad 0%,-3.423286685367319,"Δ Total SOC, 0–30 cm",Radiation,76.3837266907792
Mineral fertiliser | Residue Retained,Tmp +0.5degC,-0.08950494119171759,"Δ Total SOC, 0–30 cm",Temperature,100.63244493629946
Mineral fertiliser | Residue Retained,Tmp +1degC,-0.8498064412143793,"Δ Total SOC, 0–30 cm",Temperature,105.40939866383185
Mineral fertiliser | Residue Retained,Tmp +2degC,-1.8258700824289735,"Δ Total SOC, 0–30 cm",Temperature,109.28947017944404
Mineral fertiliser | Residue Retained,Tmp +3degC,-4.189541127277795,"Δ Total SOC, 0–30 cm",Temperature,103.98470194244118
Mineral fertiliser | Residue Retained,Tmp -2degC,8.496707815549707,"Δ Total SOC, 0–30 cm",Temperature,60.164223976591124
Mineral fertiliser | Residue Retained,Tmp -3degC,9.165945168795599,"Δ Total SOC, 0–30 cm",Temperature,40.219330685605705
Mineral fertiliser | Residue Retained,Tmp 0degC,1.1241977163289658,"Δ Total SOC, 0–30 cm",Temperature,94.96465826864811
Mineral fertiliser | Residue Retained,Wind -20%,0.027929894306052937,"Δ Total SOC, 0–30 cm",Wind,99.12250936271442
Mineral fertiliser | Residue Retained,Wind -30%,0.01486643758561372,"Δ Total SOC, 0–30 cm",Wind,98.97154011345675
Mineral fertiliser | Residue Retained,Wind -40%,-0.0037862757090307043,"Δ Total SOC, 0–30 cm",Wind,98.75624049608722
Mineral fertiliser | Residue Retained,Wind -50%,-0.019889114905622195,"Δ Total SOC, 0–30 cm",Wind,98.58783142280076
Mineral fertiliser | Residue Retained,Wind -60%,-0.044234522201767455,"Δ Total SOC, 0–30 cm",Wind,98.39216646440727
Mineral fertiliser | Residue Retained,Wind -70%,-0.06085521434580524,"Δ Total SOC, 0–30 cm",Wind,98.18701928205064
Mineral fertiliser | Residue Retained,Wind 0%,0.04373712482808864,"Δ Total SOC, 0–30 cm",Wind,99.4162922411067
Biogas digestate | Residue Removed,Rad -10%,-18.289152505001663,Δ Actual evapotranspiration,Radiation,73.35857465745745
Biogas digestate | Residue Removed,Rad -20%,-24.73461570100316,Δ Actual evapotranspiration,Radiation,63.185206480605004
Biogas digestate | Residue Removed,Rad -30%,-31.382584618238027,Δ Actual evapotranspiration,Radiation,47.59714654045869
Biogas digestate | Residue Removed,Rad -5%,-15.184174409820438,Δ Actual evapotranspiration,Radiation,75.4270831992136
Biogas digestate | Residue Removed,Rad 0%,-11.958268916761499,Δ Actual evapotranspiration,Radiation,79.05643869902147
Biogas digestate | Residue Removed,Tmp +0.5degC,-0.45255237910668294,Δ Actual evapotranspiration,Temperature,100.1022126865476
Biogas digestate | Residue Removed,Tmp +1degC,4.315636078512071,Δ Actual evapotranspiration,Temperature,114.26855631867176
Biogas digestate | Residue Removed,Tmp +2degC,11.446985696065799,Δ Actual evapotranspiration,Temperature,124.5250607346544
Biogas digestate | Residue Removed,Tmp +3degC,16.829645560045908,Δ Actual evapotranspiration,Temperature,126.31157757605143
Biogas digestate | Residue Removed,Tmp -2degC,-20.34854747866594,Δ Actual evapotranspiration,Temperature,67.88079560702616
