fertilisation,residue,management_label,scen_label,flux,mean_kgN_ha,sd_kgN_ha,n_rotations,driver
Biogas digestate,Residue Removed,Biogas digestate | Residue Removed,Tmp +1degC,Biological N fixation,215.31153399074077,19.423430450178156,4,Temperature
Biogas digestate,Residue Removed,Biogas digestate | Residue Removed,Tmp +2degC,Mineralisation,292.0424546296296,5.113965293904982,4,Temperature
Biogas digestate,Residue Removed,Biogas digestate | Residue Removed,Tmp +2degC,Crop N uptake,308.824212962963,9.005273569125071,4,Temperature
Biogas digestate,Residue Removed,Biogas digestate | Residue Removed,Tmp +2degC,Biological N fixation,244.08266842592593,12.586730111808642,4,Temperature
Biogas digestate,Residue Removed,Biogas digestate | Residue Removed,Tmp +3degC,Mineralisation,300.2018166666667,2.4087339181934757,4,Temperature
Biogas digestate,Residue Removed,Biogas digestate | Residue Removed,Tmp +3degC,Crop N uptake,318.80789166666665,5.574754634007312,4,Temperature
Biogas digestate,Residue Removed,Biogas digestate | Residue Removed,Tmp +3degC,Biological N fixation,250.94476822416667,7.832366860131749,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Reference,Mineralisation,244.32651666666666,20.64803389704083,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Reference,Crop N uptake,267.2377814814815,16.535602615798695,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Reference,Biological N fixation,164.68523153055554,36.59396656996281,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad 0%,Mineralisation,230.04988037037037,8.60392348467761,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad 0%,Crop N uptake,243.9803861111111,12.705319279264538,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad 0%,Biological N fixation,132.40110796296295,14.071424183783698,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -5%,Mineralisation,222.34089185185184,3.8991023823573214,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -5%,Crop N uptake,235.9462638888889,8.085949324898836,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -5%,Biological N fixation,117.61265137962963,6.409975280181744,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -10%,Mineralisation,218.4183725925926,10.223273900803187,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -10%,Crop N uptake,229.87627777777777,13.59607738119412,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -10%,Biological N fixation,110.92087012962963,15.047030720662843,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -20%,Mineralisation,197.72355268518518,14.590716134645836,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -20%,Crop N uptake,209.1691425925926,14.815598448096518,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -20%,Biological N fixation,71.61057063351852,24.390963260227227,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -30%,Mineralisation,179.1071963888889,9.773759780588824,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -30%,Crop N uptake,189.17443055555555,9.8431231867243,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Rad -30%,Biological N fixation,31.328376024875926,15.125987831244245,4,Radiation
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Reference,Mineralisation,244.32651666666666,20.64803389704083,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Reference,Crop N uptake,267.2377814814815,16.535602615798695,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Reference,Biological N fixation,164.68523153055554,36.59396656996281,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp -3degC,Mineralisation,188.08203685185185,15.286219334210585,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp -3degC,Crop N uptake,221.26708703703704,15.995241355436878,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp -3degC,Biological N fixation,56.44404527962963,23.238792420465405,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp -2degC,Mineralisation,210.7495775925926,3.4609008643163466,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp -2degC,Crop N uptake,239.52243333333334,5.593044276964718,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp -2degC,Biological N fixation,93.63240287962964,6.8012668102552984,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp 0degC,Mineralisation,237.0656811111111,4.253274357344113,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp 0degC,Crop N uptake,260.33912592592594,5.60956320767131,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp 0degC,Biological N fixation,144.22736944444443,5.007153398866157,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +0.5degC,Mineralisation,262.80471916666664,12.314896199998504,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +0.5degC,Crop N uptake,280.7602777777778,13.756468945921435,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +0.5degC,Biological N fixation,190.7509464537037,28.622751959607733,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +1degC,Mineralisation,270.8722040740741,18.896104614791028,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +1degC,Crop N uptake,288.97800277777776,18.08476559126531,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +1degC,Biological N fixation,203.78246212962964,36.59868481060027,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +2degC,Mineralisation,293.3153296296296,13.531747889990836,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +2degC,Crop N uptake,307.1422537037037,12.190345181216417,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +2degC,Biological N fixation,238.69201594444445,25.035506735758748,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +3degC,Mineralisation,306.74226851851853,2.0680194544585877,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +3degC,Crop N uptake,320.6212712962963,5.407528094216701,4,Temperature
Biogas digestate,Residue Retained,Biogas digestate | Residue Retained,Tmp +3degC,Biological N fixation,252.0969214814815,7.571111759824023,4,Temperature
