fertilisation,residue,weather_scenario,weather_factor,weather_signed_change_pct,strip_position,weather_is_baseline,system_asy_MgDM_ha_yr,sd_across_rotations,n_rotations,signed_level,wf,scen_label,reference_asy,relative_yield_pct,management_label,leaching_kgN_ha,leaching_sd_kgN_ha,driver,yield_metric
Mineral fertiliser,Residue Removed,weatherRad5dwnCenter,Radiation,-5,Center,FALSE,8.154290085050926,1.0183649935825634,4,-5,Radiation,Rad -5%,11.136679941489815,73.22011701774812,Mineral fertiliser | Residue Removed,20.40758783,2.2305964063762054,Radiation,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherTmp0Center,Temperature,0,Center,FALSE,11.302590114842593,0.7176435327930807,4,0,Temperature,Tmp 0degC,11.136679941489815,101.48976332465726,Mineral fertiliser | Residue Removed,21.987819784537038,3.0087422929191594,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherTmp0p5upCenter,Temperature,0.5,Center,FALSE,12.05834061299074,0.9998590870548606,4,0.5,Temperature,Tmp +0.5degC,11.136679941489815,108.27590158236718,Mineral fertiliser | Residue Removed,22.680351771481483,2.526967540920047,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherTmp1upCenter,Temperature,1,Center,FALSE,13.093429635481481,0.8785516165155125,4,1,Temperature,Tmp +1degC,11.136679941489815,117.57031453065088,Mineral fertiliser | Residue Removed,24.479110894444446,1.2245488867060939,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherTmp2dwnCenter,Temperature,-2,Center,FALSE,7.9346463260833335,0.48098762666762723,4,-2,Temperature,Tmp -2degC,11.136679941489815,71.24786173052102,Mineral fertiliser | Residue Removed,11.751167078333333,4.123652983843145,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherTmp2upCenter,Temperature,2,Center,FALSE,14.16690842928148,0.6817525877812423,4,2,Temperature,Tmp +2degC,11.136679941489815,127.20944216509733,Mineral fertiliser | Residue Removed,25.47977211371296,2.753223213215831,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherTmp3dwnCenter,Temperature,-3,Center,FALSE,5.836711789268518,0.4161940741249125,4,-3,Temperature,Tmp -3degC,11.136679941489815,52.40980094546659,Mineral fertiliser | Residue Removed,9.914541317513889,3.808971876471592,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherTmp3upCenter,Temperature,3,Center,FALSE,14.306689281415471,0.7157240507258421,4,3,Temperature,Tmp +3degC,11.136679941489815,128.46458151424244,Mineral fertiliser | Residue Removed,24.894658196296298,2.5339214403151713,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherWin0Center,Wind,0,Center,FALSE,11.190018807777777,0.8270591020021134,4,0,Wind,Wind 0%,11.136679941489815,100.47894764479356,Mineral fertiliser | Residue Removed,22.68043926787037,1.8933484955997442,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherWin20dwnCenter,Wind,-20,Center,FALSE,11.348517190092593,0.860172452769779,4,-20,Wind,Wind -20%,11.136679941489815,101.90215800144868,Mineral fertiliser | Residue Removed,23.124889715370372,1.5969043224866393,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherWin30dwnCenter,Wind,-30,Center,FALSE,11.36698945638889,0.8627951510992511,4,-30,Wind,Wind -30%,11.136679941489815,102.06802670193524,Mineral fertiliser | Residue Removed,23.067618583333335,1.6235661295497856,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherWin40dwnCenter,Wind,-40,Center,FALSE,11.359565323425926,0.8516325659398933,4,-40,Wind,Wind -40%,11.136679941489815,102.00136291163177,Mineral fertiliser | Residue Removed,23.05223566361111,1.6273439893957882,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherWin50dwnCenter,Wind,-50,Center,FALSE,11.359307994916666,0.8447207285141078,4,-50,Wind,Wind -50%,11.136679941489815,101.99905227227954,Mineral fertiliser | Residue Removed,23.085460822694444,1.601113881520938,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherWin60dwnCenter,Wind,-60,Center,FALSE,11.371094298101852,0.8427074632078271,4,-60,Wind,Wind -60%,11.136679941489815,102.10488545817613,Mineral fertiliser | Residue Removed,23.019904707194442,1.5882300999361647,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherWin70dwnCenter,Wind,-70,Center,FALSE,11.37696569900926,0.8377711269847361,4,-70,Wind,Wind -70%,11.136679941489815,102.15760674439656,Mineral fertiliser | Residue Removed,22.976087741388888,1.6387721966242372,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherBaselineopen,Baseline,0,Open field,TRUE,2.000171494351852,0.15972871737670222,4,0,Reference,Reference,2.000171494351852,100,Mineral fertiliser | Residue Retained,25.53980802037037,1.0438448084468932,Open field,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherRad0Center,Radiation,0,Center,FALSE,1.5278055275925926,0.15268843963209425,4,0,Radiation,Rad 0%,2.000171494351852,76.3837266907792,Mineral fertiliser | Residue Retained,22.527006833703705,3.0752377965969955,Radiation,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherRad10dwnCenter,Radiation,-10,Center,FALSE,1.3040651433148147,0.15232396207102017,4,-10,Radiation,Rad -10%,2.000171494351852,65.19766664994854,Mineral fertiliser | Residue Retained,23.858361482962962,3.626711134862548,Radiation,All-crop ASY AGB
