simulation_id,scenario_unit,reference_type,run_id,soil,rotation,rotation_code,fertilisation,residue,weather_scenario,weather_factor,weather_direction,weather_change_pct,weather_signed_change_pct,strip_position,weather_is_baseline
SIM0070,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherWin70dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherWin70dwnCenter,Wind,Decrease,70,-70,Center,FALSE
SIM0071,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherWin60dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherWin60dwnCenter,Wind,Decrease,60,-60,Center,FALSE
SIM0072,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherWin50dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherWin50dwnCenter,Wind,Decrease,50,-50,Center,FALSE
SIM0073,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherWin40dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherWin40dwnCenter,Wind,Decrease,40,-40,Center,FALSE
SIM0074,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherWin30dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherWin30dwnCenter,Wind,Decrease,30,-30,Center,FALSE
SIM0075,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherWin20dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherWin20dwnCenter,Wind,Decrease,20,-20,Center,FALSE
SIM0076,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRet_weatherWin0Center,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherWin0Center,Wind,No change,0,0,Center,FALSE
SIM0077,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRet_weatherWin0East,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherWin0East,Wind,No change,0,0,East,FALSE
SIM0078,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRet_weatherWin0West,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherWin0West,Wind,No change,0,0,West,FALSE
SIM0079,NA,Open-field baseline,foulum_Rotation1MinRem_weatherBaselineopen,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherBaselineopen,Baseline,No change,0,0,Open field,TRUE
SIM0080,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherRad30dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherRad30dwnCenter,Radiation,Decrease,30,-30,Center,FALSE
SIM0081,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherRad20dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherRad20dwnCenter,Radiation,Decrease,20,-20,Center,FALSE
SIM0082,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherRad10dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherRad10dwnCenter,Radiation,Decrease,10,-10,Center,FALSE
SIM0083,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherRad5dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherRad5dwnCenter,Radiation,Decrease,5,-5,Center,FALSE
SIM0084,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRem_weatherRad0Center,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherRad0Center,Radiation,No change,0,0,Center,FALSE
SIM0085,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRem_weatherRad0East,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherRad0East,Radiation,No change,0,0,East,FALSE
SIM0086,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRem_weatherRad0West,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherRad0West,Radiation,No change,0,0,West,FALSE
SIM0087,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherTmp3dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherTmp3dwnCenter,Temperature,Decrease,3,-3,Center,FALSE
SIM0088,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherTmp2dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherTmp2dwnCenter,Temperature,Decrease,2,-2,Center,FALSE
SIM0089,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRem_weatherTmp0Center,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherTmp0Center,Temperature,No change,0,0,Center,FALSE
SIM0090,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRem_weatherTmp0East,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherTmp0East,Temperature,No change,0,0,East,FALSE
SIM0091,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRem_weatherTmp0West,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherTmp0West,Temperature,No change,0,0,West,FALSE
SIM0092,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherTmp0p5upCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherTmp0p5upCenter,Temperature,Increase,0.5,0.5,Center,FALSE
SIM0093,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherTmp1upCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherTmp1upCenter,Temperature,Increase,1,1,Center,FALSE
SIM0094,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherTmp2upCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherTmp2upCenter,Temperature,Increase,2,2,Center,FALSE
SIM0095,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherTmp3upCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherTmp3upCenter,Temperature,Increase,3,3,Center,FALSE
SIM0096,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherWin70dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherWin70dwnCenter,Wind,Decrease,70,-70,Center,FALSE
SIM0097,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherWin60dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherWin60dwnCenter,Wind,Decrease,60,-60,Center,FALSE
SIM0098,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherWin50dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherWin50dwnCenter,Wind,Decrease,50,-50,Center,FALSE
SIM0099,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherWin40dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherWin40dwnCenter,Wind,Decrease,40,-40,Center,FALSE
SIM0100,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherWin30dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherWin30dwnCenter,Wind,Decrease,30,-30,Center,FALSE
SIM0101,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRem_weatherWin20dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherWin20dwnCenter,Wind,Decrease,20,-20,Center,FALSE
SIM0102,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRem_weatherWin0Center,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherWin0Center,Wind,No change,0,0,Center,FALSE
SIM0103,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRem_weatherWin0East,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherWin0East,Wind,No change,0,0,East,FALSE
SIM0104,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRem_weatherWin0West,foulum,Rotation 1,1,Mineral fertiliser,Residue Removed,weatherWin0West,Wind,No change,0,0,West,FALSE
SIM0105,NA,Open-field baseline,foulum_Rotation1MinRet_weatherBaselineopen,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherBaselineopen,Baseline,No change,0,0,Open field,TRUE
SIM0106,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherRad30dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherRad30dwnCenter,Radiation,Decrease,30,-30,Center,FALSE
SIM0107,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherRad20dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherRad20dwnCenter,Radiation,Decrease,20,-20,Center,FALSE
SIM0108,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherRad10dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherRad10dwnCenter,Radiation,Decrease,10,-10,Center,FALSE
SIM0109,percent,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherRad5dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherRad5dwnCenter,Radiation,Decrease,5,-5,Center,FALSE
